iter	RMSE
166	4.941372709
167	4.937778333
168	4.930860587
169	4.927116489
170	4.925757862
171	4.923419501
172	4.918393412
173	4.910307646
174	4.908595807
175	4.902303142
176	4.897389814
177	4.893784305
178	4.88949032
179	4.885526473
180	4.878869084
181	4.875211361
182	4.870711233
183	4.866341001
184	4.861213494
185	4.857799124
186	4.8543972
187	4.849243176
188	4.846421402
189	4.840015596
190	4.832484624
191	4.830502437
192	4.824569296
193	4.819485858
194	4.816262092
195	4.812135882
196	4.809192262
197	4.803970463
198	4.797157732
199	4.791531476
200	4.788202204
201	4.783426632
202	4.781725503
203	4.778048188
204	4.7752791
205	4.770355554
206	4.766641763
207	4.761976133
208	4.759187204
209	4.755501182
210	4.752915163
211	4.749795067
212	4.747778531
213	4.741376728
214	4.739156602
215	4.735523981
216	4.732286251
217	4.728550092
218	4.726493022
219	4.722852021
220	4.719520826
221	4.715592516
222	4.711467974
223	4.70876758
224	4.705731223
225	4.704318916
226	4.698301461
227	4.691768263
228	4.689789423
229	4.681611443
230	4.675837946
231	4.669232129
232	4.666625475
233	4.663609273
234	4.661560571
235	4.658249412
236	4.655107161
237	4.651170109
238	4.646921283
239	4.644474746
240	4.640154147
241	4.637352304
242	4.634052963
243	4.628370828
244	4.62242392
245	4.620295569
246	4.614695826
247	4.608829051
248	4.604718337
249	4.601363813
250	4.599609264
251	4.594273757
252	4.588347199
253	4.585105446
254	4.579828834
255	4.57578308
256	4.569444846
257	4.567843704
258	4.561533431
259	4.5589987
260	4.553628539
261	4.54950488
262	4.544461445
263	4.54018492
264	4.537198758
265	4.535463515
266	4.532391778
267	4.529275164
268	4.526696001
269	4.523786726
270	4.520365175
271	4.515746437
272	4.513269693
273	4.51078391
274	4.507484108
275	4.504795984
276	4.501088912
277	4.497695515
278	4.49331238
279	4.487691468
280	4.486048131
281	4.483091697
282	4.478442387
283	4.477610235
284	4.476281516
285	4.47265033
286	4.470598659
287	4.467657899
288	4.466795376
289	4.461808893
290	4.455690678
291	4.453037106
292	4.450682131
293	4.448844321
294	4.443170153
295	4.440878664
296	4.436094961
297	4.434798023
298	4.429617978
299	4.424672187
300	4.420987595
301	4.418956205
302	4.415261767
303	4.412257138
304	4.407680408
305	4.405450857
306	4.402041299
307	4.395865608
308	4.391148359
309	4.385204337
310	4.383614286
311	4.378684237
312	4.376318931
313	4.374147787
314	4.368399484
315	4.363907214
316	4.359633139
317	4.358709352
318	4.355284018
319	4.354664945
320	4.351599697
321	4.351224603
322	4.349214805
323	4.347214682
324	4.344605704
325	4.339472001
326	4.33468352
327	4.332830088
328	4.328212226
329	4.32399582
330	4.320462108
331	4.316640896
332	4.311350642
333	4.307103408
334	4.303052456
335	4.299878232
336	4.298305701
337	4.295593251
338	4.293127953
339	4.291505051
340	4.287863078
341	4.283411816
342	4.279876822
343	4.27601883
344	4.27326542
345	4.271902143
346	4.267512798
347	4.265440044
348	4.262199108
349	4.26000711
350	4.256382482
351	4.254495142
352	4.249792741
353	4.24773118
354	4.245618297
355	4.241473115
356	4.235182602
357	4.229486583
358	4.224622641
359	4.223829458
360	4.222371313
361	4.219031204
362	4.215851651
363	4.211482112
364	4.21053707
365	4.207399651
366	4.203724029
367	4.199673555
368	4.197316828
369	4.195870304
370	4.191733145
371	4.190125517
372	4.187493136
373	4.185951705
374	4.182926589
375	4.179019984
376	4.173805443
377	4.172410125
378	4.16816827
379	4.164431562
380	4.160610892
381	4.155332027
382	4.153720818
383	4.150835142
384	4.149324475
385	4.147882999
386	4.147110976
387	4.145431224
388	4.142650266
389	4.141075538
390	4.137887746
391	4.136476167
392	4.134342648
393	4.132752407
394	4.127594436
395	4.123614814
396	4.119110432
397	4.118676124
398	4.113571494
399	4.110181885
400	4.10760734
401	4.104275792
402	4.101825991
403	4.099902399
404	4.096302224
405	4.093236399
406	4.091987965
407	4.087977372
408	4.087659058
409	4.084953069
410	4.081201546
411	4.077632407
412	4.075498463
413	4.072731088
414	4.070212096
415	4.068228554
416	4.066363403
417	4.06428818
418	4.062884404
419	4.061168178
420	4.059530065
421	4.058869772
422	4.055881244
423	4.054507812
424	4.053821981
425	4.050861995
426	4.050301717
427	4.047701548
428	4.044950246
429	4.041286758
430	4.036845796
431	4.03541359
432	4.032890848
433	4.031407863
434	4.030797348
435	4.029274488
436	4.025838664
437	4.021125418
438	4.017986325
439	4.017215729
440	4.016045645
441	4.014374417
442	4.008508202
443	4.006380248
444	4.003862605
445	4.000790984
446	4.000380014
447	3.996763021
448	3.992316283
449	3.987524904
450	3.983808646
451	3.980308176
452	3.977622908
453	3.976381702
454	3.97316768
455	3.971195883
456	3.968346514
457	3.964340367
458	3.961679154
459	3.95868958
460	3.957013814
461	3.954936353
462	3.952946633
463	3.950804679
464	3.95019723
465	3.948851024
466	3.946751235
467	3.945534011
468	3.944077527
469	3.940517119
470	3.936683786
471	3.934868751
472	3.932907713
473	3.930595587
474	3.929424329
475	3.925730938
476	3.924937276
477	3.922813216
478	3.919852665
479	3.916530973
480	3.913186496
481	3.911645107
482	3.908350314
483	3.905028042
484	3.901662373
485	3.899372661
486	3.89432258
487	3.890422903
488	3.887600303
489	3.886025746
490	3.883938205
491	3.882342062
492	3.878350309
493	3.875675137
494	3.871757245
495	3.869432421
496	3.866394155
497	3.863313741
498	3.861018314
499	3.859879786
500	3.857554552
501	3.855591547
502	3.854174537
503	3.850639948
504	3.846454253
505	3.845784113
506	3.844216869
507	3.842697156
508	3.839512882
509	3.837345296
510	3.834323145
511	3.832647122
512	3.828941088
513	3.828337324
514	3.826857274
515	3.826204429
516	3.823386525
517	3.822302451
518	3.818962196
519	3.816082158
520	3.812998023
521	3.80944713
522	3.806929675
523	3.803701341
524	3.801793941
525	3.800560066
526	3.799485241
527	3.797542905
528	3.797151684
529	3.795679414
530	3.793564541
531	3.792128224
532	3.785981021
533	3.785609338
534	3.782277689
535	3.778416935
536	3.773943868
537	3.773594947
538	3.771415683
539	3.77084725
540	3.768673373
541	3.766832881
542	3.763484431
543	3.760856952
544	3.75765244
545	3.757295412
546	3.754599579
547	3.751415957
548	3.749727858
549	3.748634862
550	3.74617969
551	3.7423956
552	3.738840975
553	3.738332241
554	3.737944827
555	3.734439998
556	3.732632747
557	3.731990643
558	3.730245728
559	3.728244688
560	3.724918579
561	3.724292814
562	3.723315168
563	3.719471157
564	3.719036927
565	3.716108924
566	3.711996222
567	3.708648613
568	3.706094095
569	3.704684589
570	3.701966234
571	3.698963019
572	3.698614032
573	3.69788919
574	3.69771288
575	3.695807435
576	3.692668005
577	3.689413974
578	3.68678852
579	3.683816733
580	3.681364615
581	3.679596718
582	3.676892177
583	3.674904512
584	3.673882554
585	3.671433949
586	3.667154728
587	3.666177866
588	3.665851455
589	3.66508526
590	3.663574525
591	3.661812881
592	3.661480767
593	3.657828426
594	3.656633425
595	3.655801604
596	3.654561495
597	3.653907911
598	3.651303357
599	3.648922069
600	3.64692917
601	3.6459864
602	3.64439346
603	3.6428665
604	3.640984064
605	3.636607228
606	3.633182431
607	3.632541669
608	3.630138137
609	3.629058387
610	3.628762402
611	3.627550912
612	3.626497196
613	3.62534733
614	3.624195772
615	3.622869666
616	3.622631093
617	3.619750397
618	3.617506769
619	3.616947415
620	3.616505194
621	3.614200292
622	3.613916703
623	3.613619161
624	3.611972422
625	3.609474301
626	3.60757406
627	3.605368493
628	3.602482085
629	3.599550553
630	3.59377251
631	3.590967245
632	3.590400546
633	3.587568617
634	3.584122933
635	3.580357147
636	3.577166395
637	3.574011537
638	3.573740767
639	3.572544188
640	3.572258912
641	3.571249898
642	3.567593215
643	3.566006664
644	3.565653354
645	3.565392727
646	3.56403074
647	3.561113115
648	3.557731778
649	3.557506157
650	3.555155165
651	3.552346031
652	3.550058557
653	3.548797767
654	3.546265089
655	3.544192745
656	3.543835065
657	3.543504909
658	3.542193288
659	3.539588771
660	3.53890162
661	3.538644672
662	3.537264315
663	3.532853082
664	3.532189229
665	3.530439952
666	3.528300573
667	3.527434157
668	3.526439631
669	3.523474259
670	3.522140123
671	3.52084933
672	3.518419976
673	3.514902157
674	3.51086359
675	3.50938967
676	3.509028048
677	3.504947426
678	3.50444475
679	3.501989275
680	3.500628076
681	3.498236223
682	3.498036886
683	3.496711696
684	3.495526709
685	3.493908877
686	3.492627028
687	3.489292246
688	3.486285144
689	3.485911723
690	3.484613358
691	3.482108438
692	3.478641605
693	3.475915475
694	3.472885317
695	3.471238649
696	3.466877408
697	3.466447229
698	3.465535748
699	3.46445856
700	3.463404001
701	3.463124977
702	3.460332055
703	3.457615645
704	3.454307674
705	3.450767072
706	3.450172976
707	3.448651752
708	3.445467013
709	3.443529725
710	3.442404944
711	3.440935033
712	3.438974552
713	3.436294658
714	3.435443952
715	3.435097365
716	3.432143783
717	3.431452018
718	3.42860098
719	3.427388041
720	3.425015897
721	3.42128513
722	3.419202844
723	3.416891287
724	3.414955164
725	3.414769928
726	3.412673227
727	3.412448132
728	3.409843521
729	3.407721874
730	3.406040725
731	3.403836004
732	3.402610642
733	3.399738855
734	3.39753677
735	3.397082813
736	3.394761214
737	3.392636998
738	3.391151968
739	3.390264071
740	3.388103588
741	3.387101702
742	3.385653648
743	3.384403575
744	3.381847693
745	3.380569047
746	3.380158578
747	3.377865765
748	3.374950338
749	3.372177754
750	3.371311001
751	3.37024823
752	3.369883932
753	3.367123228
754	3.365605381
755	3.363546388
756	3.361632628
757	3.361051695
758	3.358723981
759	3.358421888
760	3.357262747
761	3.355833772
762	3.354296519
763	3.352298703
764	3.35029153
765	3.34711996
766	3.345284848
767	3.342939891
768	3.34259862
769	3.340967229
770	3.340599432
771	3.340020847
772	3.337009839
773	3.335930821
774	3.334693937
775	3.332017862
776	3.331804103
777	3.330467444
778	3.328351797
779	3.327864218
780	3.325623558
781	3.324680835
782	3.321935782
783	3.320769199
784	3.320510252
785	3.320301183
786	3.317478577
787	3.31731678
788	3.315720849
789	3.31552036
790	3.313547349
791	3.310255991
792	3.308094393
793	3.306801945
794	3.306560898
795	3.302827925
796	3.301883369
797	3.299977678
798	3.297949667
799	3.297139977
800	3.29430564
801	3.294141323
802	3.292800659
803	3.291504478
804	3.289601435
805	3.288288945
806	3.287961153
807	3.286954287
808	3.284285116
809	3.282830712
810	3.279620628
811	3.277610699
812	3.277414577
813	3.274793181
814	3.274603958
815	3.27201055
816	3.27141596
817	3.271228881
818	3.269886125
819	3.268203882
820	3.265699591
821	3.263206794
822	3.260558545
823	3.259721003
824	3.258750319
825	3.258423368
826	3.257322755
827	3.253539697
828	3.252079914
829	3.248920809
830	3.247180241
831	3.245343402
832	3.244530162
833	3.241012229
834	3.23866553
835	3.237246293
836	3.23447075
837	3.234133435
838	3.232215402
839	3.23115087
840	3.229690584
841	3.228965419
842	3.227960099
843	3.22639418
844	3.224028201
845	3.223776784
846	3.223125973
847	3.222876183
848	3.221704213
849	3.220807055
850	3.219015166
851	3.215050527
852	3.2149014
853	3.213729654
854	3.209612953
855	3.209429304
856	3.208381507
857	3.207239271
858	3.205976657
859	3.204906161
860	3.202646768
861	3.200388227
862	3.19836874
863	3.197227268
864	3.19587873
865	3.194380807
866	3.190629623
867	3.18868864
868	3.186362241
869	3.185758938
870	3.184702727
871	3.183726222
872	3.181434444
873	3.178313737
874	3.176202885
875	3.17494584
876	3.172442613
877	3.172062845
878	3.167892183
879	3.167172125
880	3.165426495
881	3.163332884
882	3.162691713
883	3.162008196
884	3.159528519
885	3.159353184
886	3.159059824
887	3.158174221
888	3.157136779
889	3.156533712
890	3.155797361
891	3.153703514
892	3.151771887
893	3.14963941
894	3.149415222
895	3.148903382
896	3.148713897
897	3.146621546
898	3.145690069
899	3.144844895
900	3.14354774
901	3.143399665
902	3.142035606
903	3.140912653
904	3.139739373
905	3.136557681
906	3.136090355
907	3.135512063
908	3.133130582
909	3.132181854
910	3.131048362
911	3.128622503
912	3.126326027
913	3.125989416
914	3.124730446
915	3.121955975
916	3.121176539
917	3.117296775
918	3.116211607
919	3.114291845
920	3.112015151
921	3.110725108
922	3.109020363
923	3.106666707
924	3.10562635
925	3.104278335
926	3.103529469
927	3.101108586
928	3.099086835
929	3.097999189
930	3.096266633
931	3.092546962
932	3.092113721
933	3.09011946
934	3.088234491
935	3.086896566
936	3.086051412
937	3.085306239
938	3.085223717
939	3.084375234
940	3.083771572
941	3.0819318
942	3.081512793
943	3.081358096
944	3.081068776
945	3.08062906
946	3.077623516
947	3.075740671
948	3.075644464
949	3.073493043
950	3.072741435
951	3.070506898
952	3.068756103
953	3.067495335
954	3.066984934
955	3.064494922
956	3.060776779
957	3.059575348
958	3.057938665
959	3.057491347
960	3.056483593
961	3.055226335
962	3.053609961
963	3.052870854
964	3.052420828
965	3.051287293
966	3.047796597
967	3.047144151
968	3.046233558
969	3.046066422
970	3.0458358
971	3.042811367
972	3.040638121
973	3.037772025
974	3.036700408
975	3.034928219
976	3.03461394
977	3.033121215
978	3.032224063
979	3.032041885
980	3.031884369
981	3.029994749
982	3.027277732
983	3.0251032
984	3.024312877
985	3.020547156
986	3.018558904
987	3.017737911
988	3.017598756
989	3.015176152
990	3.014199742
991	3.011986417
992	3.011003748
993	3.009456838
994	3.009074443
995	3.008397389
996	3.008303349
997	3.007990573
998	3.004817692
999	3.003031575
